PowerPerPhoton;2.109859e+02
Photon ID;x-coordinate;y-coordinate;z-coordinate;surface side;Previous PhotonID;Next PhotonID
388;1.680937e-03;0.000000e+00;1.941181e-02;-1;387;0
391;1.324802e-02;8.881784e-16;7.821552e-02;-1;390;0
394;-8.052446e-02;0.000000e+00;5.001864e-02;-1;393;0
397;-8.939574e-03;-8.881784e-16;-1.127321e-01;-1;396;0
401;1.799586e-03;8.881784e-16;-2.621593e-02;-1;400;0
404;-1.628241e-02;0.000000e+00;2.992339e-02;-1;403;0
407;-1.790529e-02;0.000000e+00;3.670853e-02;-1;406;0
410;5.188742e-02;8.881784e-16;3.495891e-02;-1;409;0
418;-1.154740e-01;0.000000e+00;4.640117e-03;-1;417;0
423;-6.488595e-02;0.000000e+00;6.980855e-02;-1;422;0
426;3.855593e-02;0.000000e+00;-5.754927e-02;-1;425;0
429;7.702872e-03;0.000000e+00;1.624533e-02;-1;428;0
434;-6.750312e-02;0.000000e+00;-4.003722e-02;-1;433;0
437;2.930171e-02;8.881784e-16;-1.747953e-02;-1;436;0
440;-1.996678e-02;0.000000e+00;3.709054e-02;-1;439;0
443;-4.330213e-02;0.000000e+00;-6.889183e-02;-1;442;0
446;1.171438e-03;8.881784e-16;1.191122e-01;-1;445;0
450;3.448635e-02;-8.881784e-16;1.159169e-02;-1;449;0
453;-2.424896e-02;0.000000e+00;5.233191e-02;-1;452;0
459;-2.809151e-02;-8.881784e-16;1.985666e-02;-1;458;0
462;-2.296693e-03;0.000000e+00;-4.266205e-02;-1;461;0
466;1.039021e-02;8.881784e-16;-8.050674e-02;-1;465;0
471;2.181445e-02;0.000000e+00;-2.013025e-02;-1;470;0
476;1.145076e-01;0.000000e+00;-1.625056e-02;-1;475;0
479;-5.958806e-02;0.000000e+00;-1.065231e-01;-1;478;0
483;-2.665766e-03;0.000000e+00;1.147764e-01;-1;482;0
487;3.795041e-02;0.000000e+00;-7.463953e-02;-1;486;0
490;3.241568e-02;-8.881784e-16;2.840630e-02;-1;489;0
493;5.880459e-02;-8.881784e-16;-6.964636e-02;-1;492;0
496;-6.813825e-02;-8.881784e-16;-5.004519e-02;-1;495;0
500;-5.255486e-02;0.000000e+00;1.730896e-03;-1;499;0
503;-1.654093e-02;-8.881784e-16;6.610758e-02;-1;502;0
506;-3.699900e-02;0.000000e+00;3.338286e-03;-1;505;0
510;6.608012e-02;8.881784e-16;-1.776849e-02;-1;509;0
513;-8.929416e-03;0.000000e+00;9.073643e-02;-1;512;0
517;-2.847749e-02;0.000000e+00;-1.245869e-02;-1;516;0
521;-7.124935e-03;0.000000e+00;1.063243e-01;-1;520;0
525;6.613435e-03;8.881784e-16;1.530806e-02;-1;524;0
528;-6.031372e-02;0.000000e+00;6.762927e-03;-1;527;0
533;4.150523e-02;0.000000e+00;6.984955e-02;-1;532;0
536;-3.494162e-02;-8.881784e-16;-2.401180e-02;-1;535;0
539;-9.429002e-03;-8.881784e-16;2.079896e-03;-1;538;0
543;-6.268140e-02;8.881784e-16;2.622026e-02;-1;542;0
546;-3.623997e-02;0.000000e+00;4.512369e-02;-1;545;0
550;-1.460279e-02;0.000000e+00;4.962140e-02;-1;549;0
553;1.103510e-01;8.881784e-16;-2.324405e-02;-1;552;0
558;4.845240e-02;0.000000e+00;3.321418e-02;-1;557;0
561;-8.209587e-02;-8.881784e-16;-2.516364e-03;-1;560;0
564;4.410586e-02;0.000000e+00;8.470018e-02;-1;563;0
568;-2.707744e-02;-1.776357e-15;-1.594123e-02;-1;567;0
571;6.731685e-02;-8.881784e-16;-3.295290e-02;-1;570;0
574;-1.265329e-02;0.000000e+00;4.022109e-02;-1;573;0
578;5.056999e-02;0.000000e+00;-5.013283e-02;-1;577;0
582;-1.837412e-02;0.000000e+00;-5.668837e-02;-1;581;0
585;-1.544055e-02;0.000000e+00;-6.337430e-02;-1;584;0
588;5.055688e-04;0.000000e+00;-9.340911e-03;-1;587;0
591;1.445171e-02;0.000000e+00;8.356455e-02;-1;590;0
594;-9.901931e-02;8.881784e-16;1.091555e-01;-1;593;0
597;-4.020375e-02;0.000000e+00;1.356958e-01;-1;596;0
601;2.715090e-02;0.000000e+00;-1.947053e-02;-1;600;0
604;-9.916713e-04;0.000000e+00;-1.028663e-02;-1;603;0
610;3.233297e-02;0.000000e+00;4.970357e-02;-1;609;0
614;5.692949e-02;8.881784e-16;5.170865e-02;-1;613;0
617;1.475468e-02;0.000000e+00;1.135412e-01;-1;616;0
620;-1.340483e-02;0.000000e+00;1.832297e-01;-1;619;0
623;1.642957e-02;0.000000e+00;-1.865443e-02;-1;622;0
626;1.504805e-02;8.881784e-16;-7.161468e-03;-1;625;0
629;7.997239e-02;8.881784e-16;-4.367880e-02;-1;628;0
636;-5.424875e-02;8.881784e-16;6.183868e-02;-1;635;0
639;6.909184e-02;8.881784e-16;2.826144e-02;-1;638;0
642;2.399952e-02;8.881784e-16;4.354596e-03;-1;641;0
647;-5.223355e-03;0.000000e+00;2.962089e-02;-1;646;0
650;9.781354e-04;0.000000e+00;9.698955e-02;-1;649;0
653;1.561509e-02;0.000000e+00;7.370359e-02;-1;652;0
656;-7.768903e-02;0.000000e+00;2.780006e-02;-1;655;0
659;2.657426e-02;0.000000e+00;4.659912e-02;-1;658;0
663;2.136881e-02;0.000000e+00;-7.020216e-02;-1;662;0
667;2.701487e-02;8.881784e-16;-4.661561e-02;-1;666;0
670;-5.254681e-03;0.000000e+00;2.927567e-02;-1;669;0
674;-6.847750e-02;0.000000e+00;1.736943e-02;-1;673;0
677;-3.516234e-02;8.881784e-16;-5.841379e-03;-1;676;0
680;4.477312e-02;-8.881784e-16;2.504315e-02;-1;679;0
